"id","author","pub.year","title","inc.abst.ahe","inc.abst.sem","inc.full.read","reason","found.by.ref","country","coding.sys","sepsis.def","org.fail.def","data.source","sample.frac.n.units","stud.pop.size","ex.crit.A","ex.crit.B","ex.crit.C","int.valid","study.year.1","study.year.2","study.year.3","study.year.4","study.year.5","study.year.6","study.year.7","study.year.8","study.year.9","study.year.10","study.year.11","avg.age.1","avg.age.2","avg.age.3","avg.age.4","avg.age.5","avg.age.6","avg.age.7","avg.age.8","avg.age.9","avg.age.10","avg.age.11","incid.1","incid.2","incid.3","incid.4","incid.5","incid.6","incid.7","incid.8","incid.9","incid.10","incid.11","severe.incid.1","severe.incid.2","severe.incid.3","severe.incid.4","severe.incid.5","severe.incid.6","severe.incid.7","severe.incid.8","severe.incid.9","severe.incid.10","severe.incid.11","note"
"124","Elishoov, H.; Or, R.; Strauss, N.; Engelhard, D.",1998,"Nosocomial colonization, septicemia, and Hickman/Broviac catheter-related infections in bone marrow transplant recipients. A 5-year prospective study.",0,0,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Elke, G.; Kuhnt, E.; Ragaller, M.; Schadler, D.; Frerichs, I.; Brunkhorst, F. M.; Loffler, M.; Reinhart, K.; Weiler, N.",2013,"Enteral nutrition is associated with improved outcome in patients with severe sepsis. A secondary analysis of the VISEP trial.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","el-Mohandes, A. E.; Picard, M. B.; Simmens, S. J.; Keiser, J. F.",1997,"Use of human milk in the intensive care nursery decreases the incidence of nosocomial sepsis.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Elting, L. S.; Bodey, G. P.; Keefe, B. H.",1992,"Septicemia and shock syndrome due to viridans streptococci: a case-control study  of predisposing factors.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Elting, L. S.; Bodey, G. P.",1990,"Septicemia due to Xanthomonas species and non-aeruginosa Pseudomonas species: increasing incidence of catheter-related infections.",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Ely, E. Wesley; Angus, Derek C.; Williams, Mark D.; Bates, Becky; Qualy, Rebecca; Bernard, Gordon R.",2003,"Drotrecogin alfa (activated) treatment of older patients with severe sepsis.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Esper, Annette; Martin, Greg S.",2007,"Is severe sepsis increasing in incidence AND severity?",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Esper, Annette M.; Martin, Greg S.",2009,"Extending international sepsis epidemiology: the impact of organ dysfunction.",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Esper, Annette M.; Moss, Marc; Lewis, Charmaine A.; Nisbet, Rachel; Mannino, David M.; Martin, Greg S.",2006,"The role of infection and comorbidity: Factors that influence disparities in sepsis.",1,1,1,NA,0,"USA","ICD9",NA,NA,"NHDS",0.01,930000000,NA,NA,NA,1,1979,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.7,275.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Esteban, Andres; Frutos-Vivar, Fernando; Ferguson, Niall D.; Penuelas, Oscar; Lorente, Jose Angel; Gordo, Federico; Honrubia, Teresa; Algora, Alejandro; Bustos, Alejandra; Garcia, Gema; Diaz-Reganon, Inmaculada Rodriguez; de Luna, Rafael Ruiz",2007,"Sepsis incidence and outcome: contrasting the intensive care unit with the hospital ward.",1,1,1,NA,0,"Spain","Chart","Bone crit.","MODS","Hospital wide",3,15852,"<18 years","readmissions","transferred with diagnosis",1,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Etogo-Asse, Frederique-Estelle; Vincent, Royce P.; Hughes, Sarah A.; Auzinger, Georg; Le Roux, Carel W.; Wendon, Julia; Bernal, William",2012,"High density lipoprotein in patients with liver failure; relation to sepsis, adrenal function and outcome of illness.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Eyer, S.; Brummitt, C.; Crossley, K.; Siegel, R.; Cerra, F.",1990,"Catheter-related sepsis: prospective, randomized study of three methods of long-term catheter maintenance.",0,0,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Fairchild, Karen D.; Schelonka, Robert L.; Kaufman, David A.; Carlo, Waldemar A.; Kattwinkel, John; Porcelli, Peter J.; Navarrete, Cristina T.; Bancalari, Eduardo; Aschner, Judy L.; Walker, M. Whit; Perez, Jose A.; Palmer, Charles; Lake, Douglas E.; O'Shea, T. Michael; Moorman, J. Randall",2013,"Septicemia mortality reduction in neonates in a heart rate characteristics monitoring trial.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Fanaroff, A. A.; Korones, S. B.; Wright, L. L.; Verter, J.; Poland, R. L.; Bauer, C. R.; Tyson, J. E.; Philips, J. B. 3rd; Edwards, W.; Lucey, J. F.; Catz, C. S.; Shankaran, S.; Oh, W.",1998,"Incidence, presenting features, risk factors and significance of late onset septicemia in very low birth weight infants. The National Institute of Child Health and Human Development Neonatal Research Network.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Faxelius, G.; Ringertz, S.",1987,"Neonatal septicemia in Stockholm.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Ferro, Tammy N.; Goslar, Pamela W.; Romanovsky, Andrej A.; Petersen, Scott R.",2010,"Smoking in trauma patients: the effects on the incidence of sepsis, respiratory failure, organ failure, and mortality.",0,0,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Finfer, Simon; Bellomo, Rinaldo; Lipman, Jeffrey; French, Craig; Dobb, Geoffrey; Myburgh, John",2004,"Adult-population incidence of severe sepsis in Australian and New Zealand intensive care units.",1,1,1,NA,0,"Australia_New_Zealand","Chart","Bone crit.","PROWESS","ICU",23,3543,NA,NA,NA,1,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Flournoy, D. J.; Belknap, D. C.",1991,"The relationship of septicemia-related diagnoses and positive blood cultures.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Flaatten, Hans",2004,"Epidemiology of sepsis in Norway in 1999.",1,1,1,NA,0,"Norway","ICD10",NA,NA,"NPR",1,6665,"Neonate sepsis",NA,NA,0,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","French, Craig J.",2006,"The epidemiology of sepsis--is Australasia different?",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Frezzato, M.; Castaman, G.; Rodeghiero, F.",1993,"Fulminant sepsis in adults splenectomized for Hodgkin's disease.",0,0,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Fried, Elchanan; Weissman, Charles; Sprung, Charles",2011,"Postoperative sepsis.",0,0,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Fry, Donald E.; Beilman, Gregory; Johnson, Steven; Williams, Mark D.; Rodman, George; Booth, Frank V.; Bates, Becky M.; McCollam, Jill Shwed; Lowry, Stephen F.",2004,"Safety of drotrecogin alfa (activated) in surgical patients with severe sepsis.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Gaieski, David F.; Edwards, J. Matthew; Kallan, Michael J.; Carr, Brendan G.",2013,"Benchmarking the incidence and mortality of severe sepsis in the United States.",1,1,0,18,0,"USA","ICD9",NA,NA,"NIS",0.2,39893459,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The study compares four different methods across six years but only gives an estiamate of the avarage incidence across the six years. The aim is to compare the four methods, not to state the incidence of sepsis."
"148","Gaieski, David F.; Edwards, J. Matthew; Kallan, Michael J.; Mikkelsen, Mark E.; Goyal, Munish; Carr, Brendan G.",2014,"The relationship between hospital volume and mortality in severe sepsis.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Garland, Suzanne M.; Tobin, Jacinta M.; Pirotta, Marie; Tabrizi, Sepehr N.; Opie, Gillian; Donath, Susan; Tang, Mimi L. K.; Morley, Colin J.; Hickey, Leah; Ung, Linh; Jacobs, Susan E.",2011,"The ProPrems trial: investigating the effects of probiotics on late onset sepsis  in very preterm infants.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Gasparovic, Vladimir; Gornik, Ivan; Ivanovic, Dragutin",2006,"Sepsis syndrome in Croatian intensive care units: piloting a national comparative clinical database.",1,0,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Gathwala, Geeta; Sharma, Deepak; Bhakhri, Bhanu kiran",2013,"Effect of topical application of chlorhexidine for umbilical cord care in comparison with conventional dry cord care on the risk of neonatal sepsis: a randomized controlled trial.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Geerdes, H. F.; Ziegler, D.; Lode, H.; Hund, M.; Loehr, A.; Fangmann, W.; Wagner, J.",1992,"Septicemia in 980 patients at a university hospital in Berlin: prospective studies during 4 selected years between 1979 and 1989.",1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Giacoia, G. P.; West, K.",1989,"Sepsis with Citrobacter diversus in sick newborns.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Gilbert, G. L.; Hewitt, M. C.; Turner, C. M.; Leeder, S. R.",2002,"Epidemiology and predictive values of risk factors for neonatal group B streptococcal sepsis.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Ginat, Daniel; Saad, Wael E. A.; Davies, Mark G.; Saad, Nael E. A.; Waldman, David L.; Kitanosono, Takashi",2011,"Incidence of cholangitis and sepsis associated with percutaneous transhepatic biliary drain cholangiography and exchange: a comparison between liver transplant and native liver patients.",0,0,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Ginde, Adit A.; Moss, Marc; Shapiro, Nathan I.; Schwartz, Robert S.",2013,"Impact of older age and nursing home residence on clinical outcomes of US emergency department visits for severe sepsis.",0,0,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Girard, Timothy D.; Opal, Steven M.; Ely, E. Wesley",2005,"Insights into severe sepsis in older patients: from epidemiology to evidence-based management.",0,0,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Glickman, Seth W.; Cairns, Charles B.; Otero, Ronny M.; Woods, Christopher W.; Tsalik, Ephraim L.; Langley, Raymond J.; van Velkinburgh, Jennifer C.; Park, Lawrence P.; Glickman, Lawrence T.; Fowler, Vance G. Jr; Kingsmore, Stephen F.; Rivers, Emanuel P.",2010,"Disease progression in hemodynamically stable patients presenting to the emergency department with sepsis.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Goh, A.; Lum, L.",1999,"Sepsis, severe sepsis and septic shock in paediatric multiple organ dysfunction syndrome.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Goodin, J.; Manrique, C.; Dulohery, M.; Sampson, J.; Saettele, M.; Dabbagh, O.",2011,"Effect of statins on the clinical outcomes of patients with sepsis.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Gordon, Anthony C.; Waheed, Umeer; Hansen, Troels K.; Hitman, Graham A.; Garrard, Christopher S.; Turner, Malcolm W.; Klein, Nigel J.; Brett, Stephen J.; Hinds, Charles J.",2006,"Mannose-binding lectin polymorphisms in severe sepsis: relationship to levels, incidence, and outcome.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Green, Rebecca; Scott, L. Keith; Minagar, Alireza; Conrad, Steven",2004,"Sepsis associated encephalopathy (SAE): a review.",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Greenberg, D.; Shinwell, E. S.; Yagupsky, P.; Greenberg, S.; Leibovitz, E.; Mazor, M.; Dagan, R.",1997,"A prospective study of neonatal sepsis and meningitis in southern Israel.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Guidet, Bertrand; Aegerter, Philippe; Gauzit, Remy; Meshaka, Patrick; Dreyfuss, Didier",2005,"Incidence and impact of organ dysfunctions associated with sepsis.",1,0,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Gupta, Rajesh; Plantinga, Laura C.; Fink, Nancy E.; Melamed, Michal L.; Coresh, Josef; Fox, Caroline S.; Levin, Nathan W.; Powe, Neil R.",2007,"Statin use and sepsis events [corrected] in patients with chronic kidney disease.",0,0,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Gyawali, Narayan; Sanjana, Raj Kumari",2013,"Bacteriological profile and antibiogram of neonatal septicemia.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Hadzimuratovic, Emina; Dinarevic, Senka Mesihovic; Hadzimuratovic, Admir",2010,"Sepsis in premature newborns with congenital heart disease.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Halim, T. Y.; Song, K. W.; Barnett, M. J.; Forrest, D. L.; Hogge, D. E.; Nantel, S. H.; Nevill, T. J.; Shepherd, J. D.; Smith, C. A.; Sutherland, H. J.; Toze, C. L.; Lavoie, J. C.",2007,"Positive impact of selective outpatient management of high-risk acute myelogenous leukemia on the incidence of septicemia.",0,0,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Haque, Khalid N.; Khan, M. Ajaz; Kerry, Sally; Stephenson, Jim; Woods, Gretta",2004,"Pattern of culture-proven neonatal sepsis in a district general hospital in the United Kingdom.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Harrison, David A.; Welch, Catherine A.; Eddleston, Jane M.",2006,"The epidemiology of severe sepsis in England, Wales and Northern Ireland, 1996 to 2004: secondary analysis of a high quality clinical database, the ICNARC Case Mix Programme Database.",1,1,1,NA,0,"England_Wales_Northern_Ireland","Chart","PROWESS","PROWESS","ICU",172,343860,"<16 years","sepsis not present within 24 hrs from admission",NA,0,1996,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,62.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Hartel, Christoph; Hemmelmann, Claudia; Faust, Kirstin; Gebauer, Corinna; Hoehn, Thomas; Kribs, Angela; Laux, Reinhard; Nikischin, Werner; Segerer, Hugo; Teig, Norbert; von der Wense, Axel; Wieg, Christian; Herting, Egbert; Gopel, Wolfgang",2011,"Tumor necrosis factor-alpha promoter -308 G/A polymorphism and susceptibility to  sepsis in very-low-birth-weight infants.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
